timebase,lv_dab.i_out,lv_dab.i_in,lv_dab.v_out,mv_dab.v_out,mv_dab.i_in
0.01084,0,12.1737,14.2436,245.131,102.949
0.01088,0,12.5179,15.1811,245.181,102.993
0.01092,0,12.9209,15.7417,245.226,103.033
0.01096,0,13.3657,16.6364,245.267,103.07
0.011,0,13.8539,17.1826,245.302,103.104
0.01104,0,14.3198,17.8397,245.329,103.137
0.01108,0,14.7377,18.7552,245.35,103.169
0.01112,0,15.1702,19.3968,245.364,103.2
0.01116,0,15.6201,19.8793,245.373,103.23
0.0112,0,16.0345,20.423,245.377,103.26
0.01124,0,16.396,21.01,245.374,103.289
0.01128,0,16.7329,21.6072,245.368,103.32
0.01132,0,17.0807,22.566,245.358,103.352
0.01136,0,17.5169,23.1308,245.345,103.384
0.0114,0,17.9933,23.7697,245.329,103.418
0.01144,0,18.4479,24.3241,245.307,103.452
0.01148,0,18.8436,24.797,245.28,103.488
0.01152,0,19.1755,25.6408,245.249,103.526
0.01156,0,19.5338,26.1296,245.215,103.567
0.0116,0,19.9203,26.8543,245.181,103.61
0.01164,0,20.337,27.4282,245.144,103.655
0.01168,0,20.7516,28.0708,245.105,103.703
0.01172,0,21.1505,28.7771,245.063,103.754
0.01176,0,21.5488,29.2922,245.018,103.807
0.0118,0,21.9302,29.7858,244.973,103.863
0.01184,0,22.2776,30.489,244.925,103.922
0.01188,0,22.6289,30.9,244.878,103.984
0.01192,0,22.9684,31.6437,244.83,104.049
0.01196,0,23.3283,32.2092,244.783,104.118
0.012,0,23.7035,32.7637,244.736,104.189
0.01204,0,24.0709,33.4121,244.69,104.263
0.01208,0,24.4315,34.0471,244.643,104.34
0.01212,0,24.7926,34.5304,244.597,104.419
0.01216,0,25.1328,35.0561,244.552,104.502
0.0122,0,25.4454,35.5993,244.508,104.587
0.01224,0,25.7428,35.9798,244.465,104.675
0.01228,0,26.0145,36.5148,244.425,104.764
0.01232,0,26.2785,36.8949,244.388,104.857
0.01236,0,26.5298,37.4227,244.354,104.951
0.0124,0,26.7827,37.7688,244.323,105.047
0.01244,0,27.0213,38.1434,244.295,105.145
0.01248,0,27.2351,38.7591,244.271,105.244
0.01252,0,27.4633,39.0349,244.25,105.344
0.01256,0,27.6825,39.3351,244.233,105.444
0.0126,0,27.8655,39.8706,244.22,105.546
0.01264,0,28.0437,39.9512,244.21,105.648
0.01268,0,28.1841,40.3656,244.205,105.75
0.01272,0,28.3074,40.5834,244.204,105.852
0.01276,0,28.417,40.8159,244.207,105.953
0.0128,0,28.5123,41.1516,244.216,106.053
0.01284,0,28.6084,41.2773,244.229,106.153
0.01288,0,28.686,41.6281,244.247,106.251
0.01292,0,28.7597,41.6391,244.27,106.347
0.01296,0,28.7997,42.0186,244.297,106.441
0.013,0,28.8366,42.069,244.328,106.533
0.01304,0,28.8581,42.2091,244.364,106.623
0.01308,0,28.8586,42.3715,244.404,106.709
0.01312,0,28.846,42.6276,244.448,106.793
0.01316,0,28.8413,42.7403,244.496,106.873
0.0132,0,28.8348,42.7962,244.549,106.95
0.01324,0,28.8029,42.8963,244.605,107.022
0.01328,0,28.7425,42.944,244.663,107.091
0.01332,0,28.6593,43.0182,244.726,107.155
0.01336,0,28.5662,42.9333,244.791,107.216
0.0134,0,28.4529,42.8193,244.86,107.271
0.01344,0,28.3082,42.8857,244.932,107.322
0.01348,0,28.1578,43.0042,245.007,107.367
0.01352,0,28.0299,42.7742,245.086,107.407
0.01356,0,27.8874,42.6576,245.166,107.442
0.0136,0,27.7091,42.5319,245.249,107.472
0.01364,0,27.5012,42.574,245.332,107.496
0.01368,0,27.301,42.3672,245.418,107.514
0.01372,0,27.102,42.2514,245.506,107.526
0.01376,0,26.8955,42.0797,245.595,107.532
0.0138,0,26.6731,42.0996,245.685,107.532
0.01384,0,26.4557,41.7392,245.775,107.527
0.01388,0,26.2163,41.7001,245.865,107.515
0.01392,0,25.969,41.2139,245.955,107.498
0.01396,0,25.6863,41.0384,246.045,107.474
0.014,0,25.3868,41.0559,246.135,107.444
0.01404,0,25.1191,40.8097,246.225,107.409
0.01408,0,24.8745,40.2995,246.314,107.368
0.01412,0,24.5938,40.1907,246.402,107.322
0.01416,0,24.2903,39.7346,246.488,107.269
0.0142,0,23.9634,39.8443,246.572,107.21
0.01424,0,23.6734,39.4539,246.655,107.147
0.01428,0,23.4024,38.8475,246.736,107.078
0.01432,0,23.088,38.487,246.815,107.004
0.01436,0,22.7298,38.3546,246.89,106.925
0.0144,0,22.3852,37.8755,246.963,106.841
0.01444,0,22.0572,37.7063,247.035,106.753
0.01448,0,21.7556,37.3439,247.104,106.66
0.01452,0,21.4605,37.1856,247.17,106.563
0.01456,0,21.1727,36.8084,247.232,106.463
0.0146,0,20.8749,36.2309,247.29,106.357
0.01464,0,20.5368,35.9721,247.343,106.249
0.01468,0,20.1871,35.7206,247.393,106.138
0.01472,0,19.8626,35.4668,247.441,106.024
0.01476,0,19.5735,34.9331,247.485,105.908
0.0148,0,19.278,34.7794,247.525,105.789
0.01484,0,18.9826,34.2835,247.56,105.668
0.01488,0,18.6732,33.8679,247.591,105.545
0.01492,0,18.3492,33.3753,247.618,105.421
0.01496,0,18.0133,32.9989,247.641,105.295
0.015,0,17.685,32.3896,247.661,105.168
0.01504,0,17.3531,31.9901,247.678,105.041
0.01508,0,17.027,31.5462,247.691,104.914
0.01512,0,16.7134,31.1134,247.701,104.786
0.01516,0,16.4125,30.6334,247.707,104.658
0.0152,0,16.1151,30.2656,247.71,104.53
0.01524,0,15.8263,29.7041,247.709,104.403
0.01528,0,15.5322,29.188,247.705,104.276
0.01532,0,15.228,28.8457,247.698,104.15
0.01536,0,14.9374,28.5113,247.687,104.025
0.0154,0,14.6781,28.2462,247.674,103.902
0.01544,0,14.4546,27.679,247.658,103.78
0.01548,0,14.2237,27.1499,247.638,103.659
0.01552,0,13.9597,26.7901,247.614,103.54
0.01556,0,13.6865,26.4385,247.587,103.424
0.0156,0,13.4357,25.9151,247.559,103.31
0.01564,0,13.1998,25.5626,247.528,103.199
0.01568,0,12.9773,25.0606,247.495,103.091
0.01572,0,12.7528,24.5321,247.46,102.985
0.01576,0,12.5137,24.0735,247.423,102.881
0.0158,0,12.2689,23.7773,247.384,102.781
0.01584,0,12.0501,23.4435,247.343,102.683
0.01588,0,11.8681,23.1357,247.302,102.588
0.01592,0,11.713,22.4447,247.259,102.498
0.01596,0,11.5254,22.178,247.215,102.41
0.016,0,11.3217,22.0668,247.168,102.326
0.01604,0,11.1578,21.6463,247.121,102.245
0.01608,0,11.0244,21.232,247.074,102.167
0.01612,0,10.888,20.7932,247.025,102.093
0.01616,0,10.7268,20.5777,246.975,102.023
0.0162,0,10.5702,20.0817,246.924,101.956
0.01624,0,10.4141,19.7926,246.874,101.893
0.01628,0,10.2703,19.5771,246.824,101.833
0.01632,0,10.1553,19.3188,246.773,101.777
0.01636,0,10.0657,19.041,246.724,101.725
0.0164,0,9.98399,18.6508,246.674,101.675
0.01644,0,9.88336,18.3995,246.623,101.63
0.01648,0,9.7726,18.1989,246.573,101.588
0.01652,0,9.67694,18.0188,246.523,101.549
0.01656,0,9.61117,17.8087,246.474,101.513
0.0166,0,9.5666,17.5569,246.426,101.481
0.01664,0,9.5209,17.3251,246.379,101.452
0.01668,0,9.46396,17.0521,246.331,101.427
0.01672,0,9.39438,16.7965,246.284,101.404
0.01676,0,9.32075,16.6667,246.238,101.386
0.0168,0,9.26771,16.4506,246.194,101.369
0.01684,0,9.23451,16.4332,246.151,101.356
0.01688,0,9.23251,16.2375,246.11,101.345
0.01692,0,9.23941,16.0564,246.069,101.337
0.01696,0,9.23388,15.9702,246.029,101.331
0.017,0,9.22331,15.8143,245.99,101.328
0.01704,0,9.21364,15.645,245.952,101.327
0.01708,0,9.20458,15.7618,245.916,101.33
0.01712,0,9.23234,15.5682,245.881,101.334
0.01716,0,9.27269,15.4822,245.847,101.341
0.0172,0,9.30585,15.4852,245.815,101.349
0.01724,0,9.34018,15.3179,245.783,101.36
0.01728,0,9.36465,15.4215,245.752,101.373
0.01732,0,9.40846,15.6434,245.723,101.388
0.01736,0,9.50794,15.378,245.695,101.404
0.0174,0,9.59764,15.4731,245.668,101.422
0.01744,0,9.66833,15.2854,245.641,101.441
0.01748,0,9.70259,15.338,245.615,101.462
0.01752,0,9.73385,15.4175,245.59,101.484
0.01756,0,9.7985,15.322,245.567,101.509
0.0176,0,9.8781,15.7361,245.547,101.535
0.01764,0,10.0147,15.8412,245.527,101.562
0.01768,0,10.1867,15.9917,245.508,101.589
0.01772,0,10.358,16.1705,245.488,101.618
0.01776,0,10.5138,16.2829,245.468,101.648
0.0178,0,10.6498,16.5041,245.447,101.679
0.01784,0,10.7884,16.7875,245.427,101.712
0.01788,0,10.9571,16.7002,245.408,101.746
0.01792,0,11.106,16.9359,245.389,101.781
0.01796,0,11.242,17.0271,245.37,101.817
0.018,0,11.3709,17.2914,245.351,101.854
0.01804,0,11.521,17.6811,245.334,101.892
0.01808,0,11.7249,17.8495,245.318,101.931
0.01812,0,11.9485,17.935,245.302,101.972
0.01816,0,12.1371,18.044,245.285,102.013
0.0182,0,12.2761,18.4084,245.268,102.054
0.01824,0,12.4244,18.6321,245.251,102.097
0.01828,0,12.6072,18.7468,245.236,102.141
0.01832,0,12.7976,19.0667,245.221,102.186
0.01836,0,12.9953,19.2523,245.207,102.232
0.0184,0,13.1881,19.4144,245.193,102.278
0.01844,0,13.364,19.5903,245.179,102.325
0.01848,0,13.5248,19.8539,245.165,102.373
0.01852,0,13.6937,19.8706,245.152,102.422
0.01856,0,13.8481,20.3463,245.141,102.471
0.0186,0,14.0362,20.5341,245.13,102.521
0.01864,0,14.2491,20.5535,245.121,102.572
0.01868,0,14.4304,20.8495,245.111,102.623
0.01872,0,14.5919,21.1264,245.102,102.673
0.01876,0,14.7645,21.6249,245.093,102.724
0.0188,0,14.9963,21.844,245.086,102.777
0.01884,0,15.2534,22.0524,245.079,102.829
0.01888,0,15.4843,22.2418,245.072,102.882
0.01892,0,15.6668,22.5798,245.063,102.935
0.01896,0,15.8378,22.8389,245.055,102.988
0.019,0,16.0234,23.1674,245.048,103.041
0.01904,0,16.2357,23.5313,245.042,103.095
0.01908,0,16.4735,23.8452,245.037,103.149
0.01912,0,16.7156,24.017,245.032,103.203
0.01916,0,16.9244,24.2665,245.026,103.257
0.0192,0,17.0985,24.492,245.02,103.312
0.01924,0,17.2568,24.6189,245.014,103.367
0.01928,0,17.4029,24.9457,245.01,103.422
0.01932,0,17.5662,25.3081,245.007,103.477
0.01936,0,17.7683,25.4164,245.006,103.532
0.0194,0,17.9654,26.0067,245.006,103.587
0.01944,0,18.1898,26.1098,245.005,103.642
0.01948,0,18.3997,26.4025,245.005,103.697
